event,time
licks,864.2
licks,864.2
licks,864.4
licks,864.6
licks,864.8
licks,866.4
licks,866.6
licks,867.8
licks,870.6
licks,870.8
licks,881.0
licks,881.0
licks,888.0
licks,888.2
licks,889.8
licks,890.6
licks,891.0
licks,891.2
licks,891.4
licks,891.4
licks,891.6
licks,891.8
licks,891.8
licks,894.8
licks,895.0
licks,900.4
licks,900.6
licks,905.0
licks,908.2
licks,908.2
licks,908.4
licks,908.4
licks,908.6
licks,908.8
licks,908.8
licks,909.0
licks,911.6
licks,911.6
licks,915.4
licks,918.6
licks,918.8
licks,925.6
licks,925.8
licks,926.4
licks,1056.6
licks,1056.8
licks,1056.8
licks,1057.0
licks,1057.0
licks,1057.2
licks,1057.4
licks,1059.0
licks,1060.4
licks,1060.6
licks,1062.4
licks,1062.4
licks,1115.8
licks,1117.0
licks,1154.4
licks,1154.4
licks,1155.6
licks,1156.2
licks,1156.4
licks,1156.6
licks,1156.8
licks,1157.2
licks,1157.2
licks,1157.4
licks,1157.6
licks,1158.0
licks,1158.2
licks,1158.4
licks,1158.6
licks,1159.0
licks,1159.4
licks,1159.6
licks,1159.6
licks,1159.8
licks,1160.0
licks,1160.0
licks,1160.2
licks,1160.4
licks,1160.6
licks,1160.8
licks,1160.8
licks,1161.0
licks,1161.2
licks,1161.4
licks,1161.6
licks,1161.8
licks,1162.0
licks,1163.2
licks,1165.4
licks,1165.6
licks,1168.6
licks,1169.6
licks,1170.0
licks,1171.0
licks,1197.0
licks,1199.6
licks,1200.0
licks,1200.6
licks,1201.4
licks,1202.0
licks,1202.8
licks,1204.6
licks,1206.2
licks,1206.4
licks,1207.6
licks,1247.6
licks,1248.2
licks,1248.4
licks,1249.0
licks,1250.2
licks,1250.4
licks,1250.4
licks,1250.6
licks,1250.6
licks,1250.8
licks,1251.0
licks,1251.2
licks,1263.8
licks,1264.0
licks,1264.0
licks,1264.2
licks,1265.4
licks,1265.6
licks,1265.8
licks,1266.0
licks,1266.2
licks,1266.4
licks,1266.8
licks,1266.8
licks,1267.0
licks,1267.2
licks,1267.2
licks,1267.4
licks,1267.6
licks,1267.8
licks,1267.8
licks,1268.6
licks,1268.8
licks,1269.0
licks,1271.0
licks,1271.2
licks,1273.0
licks,1305.8
licks,1328.8
licks,1331.8
licks,1331.8
licks,1332.0
licks,1332.2
licks,1332.2
licks,1332.4
licks,1332.6
licks,1332.6
licks,1335.4
licks,1335.4
licks,1335.8
licks,1336.6
licks,1374.4
licks,1374.6
licks,1374.8
licks,1375.0
licks,1478.2
licks,1478.2
licks,1478.8
licks,1479.0
licks,1479.0
licks,1479.2
licks,1479.4
licks,1479.6
licks,1483.0
licks,1561.8
licks,1563.6
licks,1563.6
licks,1563.8
licks,1564.0
licks,1564.0
licks,1564.2
licks,1564.4
licks,1564.4
licks,1564.6
licks,1669.6
licks,1669.8
licks,1670.8
licks,1673.6
licks,1673.8
licks,1674.0
licks,1676.0
licks,1746.8
licks,1747.2
licks,1747.4
licks,1747.8
licks,1748.4
licks,1749.2
licks,1749.4
licks,1749.4
licks,1749.6
licks,1749.8
licks,1750.0
licks,1750.0
licks,1750.2
licks,1769.2
licks,1769.2
licks,1769.4
licks,1770.2
licks,1788.6
licks,1788.8
licks,1788.8
licks,1788.8
licks,1789.0
licks,1789.2
licks,1789.2
licks,1789.4
licks,1789.6
licks,1789.8
licks,1789.8
licks,1799.0
licks,1816.6
licks,1817.2
licks,1818.0
licks,1818.4
licks,1818.6
licks,1818.8
licks,1819.0
licks,1819.2
licks,1819.2
licks,1819.4
licks,1819.6
licks,1819.6
licks,1819.8
licks,1820.0
licks,1820.0
licks,1820.2
licks,1820.8
licks,1821.0
licks,1821.2
licks,1821.2
licks,1821.4
licks,1821.6
licks,1821.8
licks,1822.0
licks,1831.0
licks,1831.6
licks,1832.2
licks,1832.4
licks,1832.6
licks,1832.8
licks,1833.0
licks,1833.2
licks,1834.0
licks,1834.2
licks,1834.2
licks,1834.4
licks,1834.6
licks,1834.8
licks,1835.0
licks,1843.4
licks,1843.6
licks,1863.8
licks,1864.0
licks,1864.2
licks,1864.4
licks,1864.6
licks,1864.6
licks,1864.8
licks,1865.0
licks,1865.2
licks,1865.4
licks,1865.6
licks,1865.8
licks,1865.8
licks,1866.0
licks,1866.2
licks,1866.4
licks,1866.4
licks,1866.6
licks,1867.0
licks,1867.4
licks,1868.0
licks,1868.2
licks,1868.4
licks,1868.8
licks,1869.2
licks,1870.6
licks,1870.8
licks,1871.2
licks,1871.8
licks,1872.0
licks,1872.2
licks,1872.4
licks,1872.6
licks,1877.4
licks,1905.2
licks,1964.4
licks,1964.4
licks,1965.4
licks,1977.2
licks,1977.4
licks,1978.4
licks,1980.2
licks,1980.2
licks,1980.4
licks,1980.6
licks,1980.6
licks,1980.8
licks,1981.0
licks,1981.2
licks,1983.8
licks,2038.0
licks,2039.2
licks,2039.4
licks,2039.6
licks,2039.6
licks,2039.8
licks,2040.0
licks,2040.0
licks,2040.2
licks,2040.8
licks,2041.0
licks,2041.2
licks,2051.0
licks,2051.2
licks,2251.2
licks,2251.4
licks,2252.0
licks,2252.8
licks,2253.6
licks,2253.6
licks,2253.8
licks,2254.0
licks,2254.0
licks,2254.2
licks,2266.0
licks,2273.6
licks,2273.8
licks,2273.8
licks,2274.0
licks,2274.4
licks,2274.8
licks,2275.0
licks,2275.2
licks,2275.4
licks,2275.4
licks,2275.6
licks,2275.8
licks,2276.0
licks,2283.4
licks,2283.4
licks,2283.6
licks,2313.6
licks,2313.8
licks,2314.4
licks,2316.0
licks,2316.2
licks,2316.4
licks,2316.4
licks,2316.6
licks,2316.8
licks,2316.8
licks,2317.0
licks,2317.2
licks,2317.6
licks,2317.6
licks,2355.6
licks,2355.8
licks,2356.0
licks,2356.0
licks,2356.4
licks,2358.4
licks,2359.6
licks,2387.0
licks,2409.6
licks,2410.2
licks,2410.6
licks,2411.0
licks,2412.6
licks,2412.6
licks,2412.8
licks,2413.0
licks,2413.0
licks,2413.2
licks,2413.4
licks,2413.6
licks,2423.8
licks,2424.0
licks,2424.2
licks,2424.2
licks,2424.8
licks,2425.0
licks,2425.2
licks,2425.4
licks,2426.8
licks,2427.0
licks,2427.0
licks,2427.2
licks,2427.4
licks,2427.4
licks,2429.8
licks,2430.0
licks,2430.2
licks,2430.6
licks,2432.0
licks,2509.2
licks,2509.4
licks,2509.4
licks,2509.6
licks,2509.6
licks,2509.8
licks,2510.0
licks,2512.8
licks,2512.8
licks,2513.0
licks,2513.2
licks,2513.4
licks,2599.2
licks,2599.4
licks,2599.6
licks,2600.0
licks,2600.0
licks,2600.2
licks,2600.4
licks,2600.6
licks,2600.8
licks,2601.0
licks,2601.2
licks,2601.2
licks,2601.4
licks,2601.6
licks,2601.6
licks,2601.8
licks,2602.0
licks,2602.2
licks,2603.2
licks,2603.4
licks,2604.0
licks,2609.2
licks,2612.6
licks,2613.2
licks,2620.2
licks,2694.2
